pool_type,comparator,metric,status,matched_pair_count,matched_scene_count,all_matched_pair_count,PDMS_gap_mean,PDMS_gap_max,mean_difference,median_difference,pair_ci_low,pair_ci_high,scene_cluster_ci_low,scene_cluster_ci_high,scene_equal_mean,scene_equal_ci_low,scene_equal_ci_high,scene_win_fraction,table,variant,method,full_scene_denominator,observed_scene_count,nonempty_scene_count,candidate_denominator,local_gain_candidate_denominator,local_gain_scene_denominator,valid_unique_count,unique_parent_count,strict_count,strict_16_scene_fraction,empty_scene,insufficient_scene,candidate_PDMS,median_PDMS,min_PDMS,PDMS_gain_over_b_s,conservative_feasible_fraction,hard_safe_fraction,mean_candidate_p_B,median_candidate_p_B,P10_candidate_p_B,fraction_candidate_p_B_ge_3percent,mean_candidate_p_B_safe,mean_candidate_p_B_quality,candidate_local_gain,candidate_local_gain_median,fraction_local_gain_ge_0_5point,local_gain_defined_candidate_count,local_gain_defined_scene_count,local_gain_all_hits_descriptive,zero_hit_fraction,external_source_fraction,C_overlap_fraction,near_duplicate_representatives_0_02m,near_duplicate_representatives_0_10m,fallback_fraction,selection_optimism,sum_individual_mass,pairwise_ADE,PoolMass,GroupPoolHit,GroupPoolHit_ci_low,GroupPoolHit_ci_high,QualityMatchedPoolMass,source_GT_fraction,source_GT_structured_fraction,source_ddv2_fraction,source_drivor_fraction,source_IL_native_C_fraction,level_0_fraction,level_1_fraction,level_2_fraction,level_3_fraction,NC,DAC,EP,TTC,Comfort,DDC,epsilon,pmin,gt_geometry_radius
operational,score,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,score,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,score,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,score,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,pareto,p_B,DESCRIPTIVE_MATCHED,356.0,115.0,356.0,0.0019228234659641,0.2477248022141331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,pareto,p_B_safe,DESCRIPTIVE_MATCHED,356.0,115.0,356.0,0.0019228234659641,0.2477248022141331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,pareto,p_B_quality,DESCRIPTIVE_MATCHED,356.0,115.0,356.0,0.0019228234659641,0.2477248022141331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,pareto,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,356.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,gt_geometry,p_B,DESCRIPTIVE_MATCHED,2765.0,539.0,2765.0,0.0029610851541695,0.2452221582591396,-4.591433092224232e-06,0.0,-7.416930379746835e-06,-2.119122965641953e-06,-7.515116735321025e-06,-2.129810703236163e-06,-5.009063622743469e-06,-8.348804847628985e-06,-2.1409487090290656e-06,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,gt_geometry,p_B_safe,DESCRIPTIVE_MATCHED,2765.0,539.0,2765.0,0.0029610851541695,0.2452221582591396,-4.238245931283906e-06,0.0,-6.710556057866184e-06,-2.119122965641953e-06,-7.0999494739775605e-06,-1.811670208392104e-06,-4.707096244883235e-06,-8.054063117738979e-06,-1.915767321539004e-06,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,gt_geometry,p_B_quality,DESCRIPTIVE_MATCHED,2765.0,539.0,2765.0,0.0029610851541695,0.2452221582591396,-3.885058770343581e-06,0.0,-6.357368896925859e-06,-1.7659358047016274e-06,-6.436515928231417e-06,-1.734538484231427e-06,-4.344735391450952e-06,-7.494902215485761e-06,-1.7309560965890674e-06,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,gt_geometry,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,2765.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,score,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,score,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,score,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,score,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,pareto,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,pareto,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,pareto,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,pareto,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,gt_geometry,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,gt_geometry,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,gt_geometry,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strict,gt_geometry,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,,,,,,,,,,,,,,,,,,,sensitivity,primary,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,1.28173828125e-06,0.0,0.0,0.0,6.7138671875e-07,6.7138671875e-07,,,,0.0,0.0,28.08957525665725,0.9986875,0.5959375,0.0,15.941,15.502,0.0,-7.9345703125e-07,2.05078125e-05,2.0098191141542934,9.765625e-06,7.8125e-05,1.3804318928742413e-05,0.0292748493051619,5.859375e-06,6.25e-05,0.061875,0.200625,0.3953125,0.342125,1.0,0.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.5,0.03,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,primary,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,1.28173828125e-06,0.0,0.0,0.0,6.7138671875e-07,6.7138671875e-07,,,,0.0,0.0,28.08957525665725,0.9986875,0.5959375,0.0,15.941,15.502,0.0,-7.9345703125e-07,2.05078125e-05,2.0098191141542934,9.765625e-06,7.8125e-05,1.3804318928742413e-05,0.0292748493051619,5.859375e-06,6.25e-05,0.061875,0.200625,0.3953125,0.342125,1.0,0.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.5,0.03,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,primary,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,98.13329020385088,98.3991789936332,94.52062762522804,29.10374194366169,0.946125,1.0,8.544921875e-07,0.0,0.0,0.0,3.662109375e-07,3.662109375e-07,,,,0.0,0.0,24.99677925917896,0.999125,0.5896875,0.0,15.958,15.579,0.0,-5.4931640625e-07,1.3671875e-05,2.0288415896352,8.7890625e-06,7.03125e-05,1.2423887035868172e-05,0.0292610600019965,5.859375e-06,6.25e-05,0.05825,0.1998125,0.389875,0.352,1.0,0.0,0.0,0.0,1.0,1.0,0.9838864648924212,0.9778125,0.98375,0.97821875,0.5,0.03,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,primary,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,98.13329020385088,98.3991789936332,94.52062762522804,29.10374194366169,0.946125,1.0,8.544921875e-07,0.0,0.0,0.0,3.662109375e-07,3.662109375e-07,,,,0.0,0.0,24.99677925917896,0.999125,0.5896875,0.0,15.958,15.579,0.0,-5.4931640625e-07,1.3671875e-05,2.0288415896352,8.7890625e-06,7.03125e-05,1.2423887035868172e-05,0.0292610600019965,5.859375e-06,6.25e-05,0.05825,0.1998125,0.389875,0.352,1.0,0.0,0.0,0.0,1.0,1.0,0.9838864648924212,0.9778125,0.98375,0.97821875,0.5,0.03,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,primary,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,96.78550848219804,96.72514048674238,96.0895338364997,27.755960222008827,0.9670625,1.0,6.4697265625e-06,4.8828125e-07,0.0,0.0,5.31005859375e-06,4.94384765625e-06,,,,0.0,0.0,11.286626080862993,0.9935,0.5723125,0.0,15.192,13.492,0.0,4.8828125e-07,0.000103515625,0.6442813260376261,5.46875e-05,0.0004375,8.03733578497487e-05,0.0299060880789193,4.296875e-05,0.0001875,0.3645625,0.23925,0.3330625,0.0629375,1.0,0.0,0.0,0.0,1.0,1.0,0.9228522035727524,1.0,1.0,0.9786875,0.5,0.03,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,primary,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,96.78550848219804,96.72514048674238,96.0895338364997,27.755960222008827,0.9670625,1.0,6.4697265625e-06,4.8828125e-07,0.0,0.0,5.31005859375e-06,4.94384765625e-06,,,,0.0,0.0,11.286626080862993,0.9935,0.5723125,0.0,15.192,13.492,0.0,4.8828125e-07,0.000103515625,0.6442813260376261,5.46875e-05,0.0004375,8.03733578497487e-05,0.0299060880789193,4.296875e-05,0.0001875,0.3645625,0.23925,0.3330625,0.0629375,1.0,0.0,0.0,0.0,1.0,1.0,0.9228522035727524,1.0,1.0,0.9786875,0.5,0.03,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,primary,grpo_mass_pc,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,0.0,0.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,1.28173828125e-06,0.0,0.0,0.0,6.7138671875e-07,6.7138671875e-07,,,,0.0,0.0,28.08957525665725,0.9986875,0.5959375,0.0,15.941,15.502,1.0,-7.9345703125e-07,2.05078125e-05,2.0098191141542934,9.765625e-06,7.8125e-05,1.3804318928742413e-05,0.0292748493051619,5.859375e-06,6.25e-05,0.061875,0.200625,0.3953125,0.342125,0.0,1.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.5,0.03,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,primary,grpo_mass_pc,1000.0,1000.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0291369562735084,0.0,,,,,,,,,,,,,,,,0.5,0.03,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.01,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5959375,0.0,15.941,15.502,0.0,0.0,0.0,2.0098191141542934,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.061875,0.200625,0.3953125,0.342125,1.0,0.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.25,0.01,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.01,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5959375,0.0,15.941,15.502,0.0,0.0,0.0,2.0098191141542934,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.061875,0.200625,0.3953125,0.342125,1.0,0.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.25,0.01,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.01,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,98.13329020385088,98.3991789936332,94.52062762522804,29.10374194366169,0.946125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5896875,0.0,15.958,15.579,0.0,0.0,0.0,2.0288415896352,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.05825,0.1998125,0.389875,0.352,1.0,0.0,0.0,0.0,1.0,1.0,0.9838864648924212,0.9778125,0.98375,0.97821875,0.25,0.01,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.01,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,98.13329020385088,98.3991789936332,94.52062762522804,29.10374194366169,0.946125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5896875,0.0,15.958,15.579,0.0,0.0,0.0,2.0288415896352,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.05825,0.1998125,0.389875,0.352,1.0,0.0,0.0,0.0,1.0,1.0,0.9838864648924212,0.9778125,0.98375,0.97821875,0.25,0.01,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.01,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,96.78550848219804,96.72514048674238,96.0895338364997,27.755960222008827,0.9670625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5723125,0.0,15.192,13.492,0.0,0.0,0.0,0.6442813260376261,0.0,0.0,0.0,0.0291369562735084,0.0,0.0001875,0.3645625,0.23925,0.3330625,0.0629375,1.0,0.0,0.0,0.0,1.0,1.0,0.9228522035727524,1.0,1.0,0.9786875,0.25,0.01,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.01,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,96.78550848219804,96.72514048674238,96.0895338364997,27.755960222008827,0.9670625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5723125,0.0,15.192,13.492,0.0,0.0,0.0,0.6442813260376261,0.0,0.0,0.0,0.0291369562735084,0.0,0.0001875,0.3645625,0.23925,0.3330625,0.0629375,1.0,0.0,0.0,0.0,1.0,1.0,0.9228522035727524,1.0,1.0,0.9786875,0.25,0.01,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.01,grpo_mass_pc,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,0.0,0.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5959375,0.0,15.941,15.502,1.0,0.0,0.0,2.0098191141542934,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.061875,0.200625,0.3953125,0.342125,0.0,1.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.25,0.01,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.01,grpo_mass_pc,1000.0,1000.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0291369562735084,0.0,,,,,,,,,,,,,,,,0.25,0.01,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.03,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5959375,0.0,15.941,15.502,0.0,0.0,0.0,2.0098191141542934,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.061875,0.200625,0.3953125,0.342125,1.0,0.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.25,0.03,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.03,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5959375,0.0,15.941,15.502,0.0,0.0,0.0,2.0098191141542934,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.061875,0.200625,0.3953125,0.342125,1.0,0.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.25,0.03,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.03,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,98.13329020385088,98.3991789936332,94.52062762522804,29.10374194366169,0.946125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5896875,0.0,15.958,15.579,0.0,0.0,0.0,2.0288415896352,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.05825,0.1998125,0.389875,0.352,1.0,0.0,0.0,0.0,1.0,1.0,0.9838864648924212,0.9778125,0.98375,0.97821875,0.25,0.03,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.03,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,98.13329020385088,98.3991789936332,94.52062762522804,29.10374194366169,0.946125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5896875,0.0,15.958,15.579,0.0,0.0,0.0,2.0288415896352,0.0,0.0,0.0,0.0291369562735084,0.0,6.25e-05,0.05825,0.1998125,0.389875,0.352,1.0,0.0,0.0,0.0,1.0,1.0,0.9838864648924212,0.9778125,0.98375,0.97821875,0.25,0.03,1.0
operational,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.03,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,96.78550848219804,96.72514048674238,96.0895338364997,27.755960222008827,0.9670625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5723125,0.0,15.192,13.492,0.0,0.0,0.0,0.6442813260376261,0.0,0.0,0.0,0.0291369562735084,0.0,0.0001875,0.3645625,0.23925,0.3330625,0.0629375,1.0,0.0,0.0,0.0,1.0,1.0,0.9228522035727524,1.0,1.0,0.9786875,0.25,0.03,1.0
strict,,,,,,,,,,,,,,,,,,,sensitivity,eps0.25_p0.03,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,96.78550848219804,96.72514048674238,96.0895338364997,27.755960222008827,0.9670625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.5723125,0.0,15.192,13.492,0.0,0.0,0.0,0.6442813260376261,0.0,0.0,0.0,0.0291369562735084,0.0,0.0001875,0.3645625,0.23925,0.3330625,0.0629375,1.0,0.0,0.0,0.0,1.0,1.0,0.9228522035727524,1.0,1.0,0.9786875,0.25,0.03,1.0
